"file","pointCount","xMin","xMax","yMin","yMax","zMin","zMax"
"027f290f-3d07-48ec-ac67-666febffaa49.mod","4","-127.999999999991","-103.999999999992","-2","-2","854.000000000008","902.000000000003"
"027f290f-3d07-48ec-ac67-666febffaa49.mod","4","-79.9999999999894","-55.9999999999894","-2","-2","854.000000000007","902.000000000003"
"02c5eb79-59c9-4e00-8ef6-895ab624e69f.mod","4","-100","100","-50","50","0","0"
"02d07e33-dd5b-4980-9794-12e199011ecb.mod","5","1287.25584472427","1287.25584472427","-321.542243538067","-312.62215974194","1732.31036069142","1777.31036069142"
"02e15aff-fd0d-48bf-a541-a59244dca783.mod","4","175.011551878186","175.011551878186","-29.8689186137203","27.5385857415879","2660.0365298052","2737.00000000001"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","302.105721633723","347.105721633723","357.218026577935","357.218026577935","304.071650908494","504.071650908495"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","297.105721633723","352.105721633723","357.218026577935","357.218026577936","292.736423012624","512.736423012623"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","297.105721633726","352.105721633726","357.218026577935","357.218026577936","1152.73642301262","1372.73642301262"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-399.999999999989","400.00000000001","334.999999999996","335.000000000002","1649.63298351714","2300"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","310.68833137778","337.034753630718","364.471612203325","364.471612203325","1183.69254534358","1346.38826027699"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","302.105721633726","347.105721633726","357.218026577935","357.218026577935","1164.07165090849","1364.07165090849"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-399.99999999999","400.000000000011","334.999999999996","335.000000000002","728.731864445919","1649.63298351714"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-399.999999999989","400.000000000011","334.999999999998","335.000000000003","-5.41433564649196E-13","728.731864445916"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","297.105721633728","352.105721633728","357.218026577935","357.218026577936","1872.73642301263","2092.73642301263"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","310.688331377777","337.034753630715","364.471612203325","364.471612203325","323.692545343582","486.388260276996"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","310.688331377782","337.03475363072","364.471612203325","364.471612203325","1903.69254534358","2066.388260277"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","302.105721633728","347.105721633728","357.218026577935","357.218026577935","1884.0716509085","2084.0716509085"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-289.670429673949","290.329570326051","-197.499999999998","152.500000000002","15.8483225204823","15.8483225204823"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-299.999999999989","300.000000000011","-1115","326.80954731435","25.4906178200785","25.4906178200785"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-299.999999999989","300.000000000011","-1115","334.356744523878","750.166546419563","750.166546419563"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-299.999999999989","300.000000000011","-451.1401739897","334.356744523878","1659.53311823189","1659.53311823189"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-299.999999999989","300.000000000011","-1115","-467.84236296071","1659.53311823189","1659.53311823189"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-299.999999999989","300.000000000011","-357.500000000014","42.4999999999855","1687.40963353644","1687.40963353644"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","237.105721633718","282.105721633719","-1137.21802657794","-1137.21802657794","1164.07165090848","1364.07165090848"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","237.105721633716","282.105721633716","-1137.21802657794","-1137.21802657794","304.071650908483","504.071650908483"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","232.105721633716","287.105721633716","-1137.21802657794","-1137.21802657794","292.736423012612","512.736423012612"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","232.105721633719","287.105721633718","-1137.21802657794","-1137.21802657794","1152.73642301261","1372.73642301261"
